"RT @Qldaah: Ciobo, questioner just told you mining declining in Central Qld &amp; first thing you do is talk about Adani Carmichael coal mine.…",social,social,
"RT @benpobjie: ""I don't support the Adani mine, and neither do the people who support it"" #qanda #ErrorAustralis",social,,
"RT @CycloneCharlie8: Great news, Adani mulling exit. Well done all who opposed this insane mine. https://t.co/CX9cpFOXVe #qldpol #quspol ht…",social,economic,
8 Chinese nationals who were working under Adani group at Bhadark are asked to leave the country by June 17th https://t.co/cIyzz4nU7y,economic,,
"RT @Qldaah: Oh dear, ""Adani"" is trending. #qldpol",social,,
RT @blanketcrap: Adani's Carmichael mine will destroy our land and our culture. We need to stop them. #NoMeansNo https://t.co/MEHyDtfT4g ……,social,environmental,social
"Government rules out public funds for Adani coal project, activists claim | Business | The Guardian https://t.co/e9kzSxMqV8",economic,social,
RT @vanbadham: @LanyonRegis Shorten has committed to NOT funding Adani. Did you know?,economic,social,
RT @CatchNews: Adani accused former environment minister Jairam Ramesh of making him and his company a political target. https://t.co/U1Qwh…,social,environmental,
RT @GetUp: As Enviro Minister @GregHuntMP approved and re-approved the massive Adani coal mine. Now he says 'My work is done.' https://t.co…,social,environmental,
RT @LEANAustralia: @billshortenmp has made clear there will be no public funding for Adani mine under a Labor Government. https://t.co/bF3V…,social,,
@Hamigakiwanwan If Australia was run like a business we wouldn't do Adani as too financially risky. But we're run for business. #auspol16,social,economic,
"We live in hope! ""#Adani may abandon Australian #coal mine project - The Hindu"" https://t.co/HQTimoVg63 #GBR #climatechange #ausvotes",social,,
"RT @Pri_vision: Haan haan train me to Ambani aur Adani travel karte hai, Aam aadmi to BMW aur Mercedes me travel karte hai na  https://t.co…",,,
RT @BreakiNews: @Rohinisgh_ET Well Adani has enough money to smoke whatever he wants to whenever he wants to. @Jairam_Ramesh @INCIndia,,,
RT @1EarthMedia: Coal ship runs aground on Great Barrier Reef  Oil spill stretches 3km NO MORE COAL  #Adani #Qldpol #Auspol #Ausvotes https…,environmental,social,
RT @R_o_d_C: Adani supporter complains about taxpayer support for solar! lol @DanJCass @brettahogan https://t.co/7JOrJxCGs6,social,,
The QLD government is doing Adani's dirty business. Phone their office to find out what's up with that!  https://t.co/XY4D4RVYeJ via @AYCC,social,,
RT @arianewilkinson: Corporate background check ignores foreign environmental offences.  Fails to assess real risks inc re #Adani https://t…,environmental,social,
RT @Phil_B7: #coal mining is massive user of fresh water. Insanity to approve Adani mine when 80% Qld in drought. #ausvotes2016,environmental,social,
RT @gpaddymanning: Are they really going to give taxpayer $$ to Adani? The ins and outs of Malcolm Turnbull’s expanded cabinet https://t.co…,social,,
RT @LeipzigSyd: #insiders #auspol #nocoal #nocsg #adani #shenhua #lockthegate #lockthefarm #milk #dairy #industry https://t.co/2BLqq0NR1R,,,
RT @1EarthMedia: Top Australian investigative journalist Michael West launches website tomorrow  #AusPol #AusEcon #ASX #CSG #Adani https://…,,,
Adani is stealing our natural resources and still expect public funding? ALP must stop the mining https://t.co/YsJ2847EWN,social,,
"Brisbane trends now: Pauline Hanson, Muslims, Westbrook, Adani, Gerry Harvey, CONASTA65 and NAIDOC2016. https://t.co/AEHUXHTejD",,,
#ausvotes #auspol #putlnplast #budget #sapol #wapol #vicpol #sbs #ABC #lnp #tax #gst #labor #qni #adani https://t.co/XXqWcgFO8K,,,
Adani shown the door by traditional owners but Curtis Pitt still backs WTF @AustralianLabor @billshortenmp https://t.co/3A8cidczrr #auspol,social,,
What exactly is the 'technical' reason Terri Butler referred to that had QLD Labor approve Adani coal mine? @larissawaters? #qanda,social,,
RT @AustralisTerry: Hoping to sell coal to India? #Shenhua #Adani #auspol https://t.co/2iMns7iysL,economic,social,
@RichardDiNatale humanity eyy?? So stopping Adani Coal and keeping 300m Indians without electricity makes sense then #qanda,social,,
"RT @ChristineMilne: ""There's no public funding of Adani"", says @TurnbullMalcolm. Seriously! Fuel tax rebate, AIIB finance, Nthn Aust Fund?…",social,social,
RT @SushantSin: Australian PM Malcolm Turnbull asserts there will be no public funding for Adani’s coal mining project. https://t.co/l0xUyu…,social,,
"RT @MehekF: After seeing huge crowds in #MarchForDemocracy, Adani,Ambani n Ramdev are taking medicines 4 loose motions.",,,
Australia's Enviro Minister everyone: @GregHuntMP: no definite link between #coal from Adani mine &amp; #climatechange https://t.co/hc64qn6fqj,social,environmental,
RT @ReclaimAnglesea: The Adani coal mine will wreck the reef and do much more harm than good #qanda,environmental,,
RT @gabriellechan: Greg Hunt: no definite link between coal from Adani mine and climate change https://t.co/BPyWxbI5SJ,social,environmental,
@UNESCO the #GreatBarrierReef is in danger of being destroyed. Where are you? Why are you not doing your job? #UNESCO #UnitedNations #adani,environmental,social,
RT @ILAQPrez: QLDMinister Lynham’s Adani mine approval gutless &amp; morally bankrupt approach of Govt to Traditional Owners’ rights https://t.…,social,,
Oh ... FFS! Greg Hunt: no definite link between coal from Adani mine and climate change https://t.co/kytkHeeQRL,environmental,social,
RT @Orringa: Recall who's pimarily responsible for our environment then see comments re Adani coal mine &amp; climate change. #Auspol https://t…,environmental,,
RT @QldGreens: #GregHunt: no definite link between #coal from #Adani mine &amp; #climatechange. #qldpol #auspol https://t.co/vrEuM0EIS8 https:/…,environmental,social,
"Yes Labor, Liberals, lets open Adani and burn some more coal. Great plan old parties. Great plan. https://t.co/h2XsiXiBML",social,,
RT @MickKime: Your mummy knows you're lying Greg!Tsk tsk-Greg Hunt: no definite link between coal from Adani mine &amp; climate change https://…,environmental,social,
"RT @healthy_climate: Oh, @GregHuntMP really? ""There's no definite link between coal from Adani mine and climate change?"" https://t.co/CHPKp…",environmental,social,
"Latest #Adani press release, sees bright future for #Carmichael mine in #GalileeBasin https://t.co/dzq3pAKevO",economic,,
@DavidParis @beneltham @hughriminton - Adani is a bust. Will never happen.,economic,,
RT @4589roger: EXPLAINER: Adani Big #Coal Case Could Make It Harder To Get Mines Approved - https://t.co/IZHYvn5q9K #climate #agw #auspol,social,social,
